"Name","Address","Description","Latitude","Longitude"
"Givable","T-REX, Washington Avenue, St. Louis, MO, United States","<p>Givable empowers individuals and businesses to fuel change by making giving easy, social, and interactive.

We believe everyone has the power to transform their city and their world, one small act of kindness at a time.</p>",38.6312958,-90.1932019
"Balto","911 Washington Avenue, St. Louis, MO, United States","<p>Balto helps sales reps consistently execute strong sales technique on their calls. Balto integrates with your reps’ phone systems to automatically interpret dialogue between the rep and the buyer.</p><p>With Balto, feedback is instantaneous, delivered the moment it helps reps most. Balto helps reps handle objections, recognize pain signals, qualify the buyer, balance talk time between the rep and the buyer, and more.</p><p>Now, a manager’s feedback doesn’t come after a call has been lost, but before a call finishes, allowing the rep to fix his or her mistakes before they happen.</p>",38.6314202,-90.1929915
"The OML Project","20 S Sarah St, St. Louis, MO, United States","Nonprofit Social Enterprise organization that provides IT Infrastructure Training leading IT certifications",38.6346488581426,-90.2463121877279
"Helix Center Biotech Incubator","1100 Corporate Square Drive, Creve Coeur, MO 63132, United States","<p>Helix Center Biotech Incubator offers affordable wet labs, dry labs, office space, nurturing, mentoring, financing and collaboration opportunities for science entrepreneurs.&nbsp;<span style=""color: inherit;"">Owned and operated by St. Louis Economic Development Partnership and situated in the 39 North Innovation District, the Helix Center Biotech Incubator, sits within a dynamic intersection of research, innovation, and commerce, that is anchored by Bayer’s (formerly Monsanto) world headquarters and is closely affiliated to the largest independent plant science research institute in the world: the Donald Danforth Plant Science Center.&nbsp;</span><span style=""color: inherit;"">Successful startup growth is further supported by access to the BioResearch &amp; Development Growth (BRDG) Park that serves emerging, post-incubator companies.</span></p>",38.6776647,-90.4004892
"Clearent","11330 Olive Blvd, Creve Coeur, MO 63141, USA","<p>Clearent is a full stack payment processor, which means it is a processor, gateway and acquirer, all in one.</p>",38.6703064,-90.4311893
"LaunchCode","LaunchCode Mentor Center, 4811 Delmar Boulevard, St. Louis, MO, United States","<p>LaunchCode is dedicated to equity, access, and diversity in technology through education and job skills training. The Mentor Center provides high-speed internet access, learning resources, and mentorship. It is free and open to all those enrolled in one of LaunchCode's education programs, including LC101, CoderGirl, or CodeCamp.</p>",38.6515134,-90.2595059
"Wealth Access","T-REX, Washington Avenue, St. Louis, MO, United States","Wealth Access is the only software designed for Wealth Management Professionals and their clients to collaborate in real-time.Wealth Access is the simplest, most effective portfolio analysis and investment monitoring software in the world. Transparency through technology will transform the investor/advisor relationship.

Checking, savings, brokerage, retirement, mortgages and loans. We all lead complex financial lives. Wealth Access aggregates information from over 20,000 financial institutions and other sources helping investors and their advisors make smarter decisions about finances. Wealth Access provides investors with a holistic view of their money. Now there’s a simple way to see it all in one place.<p></p><p><a href=""https://twitter.com/asmarterlook target="" _blank'="""">Twitter</a></p>",38.6312958,-90.1932019
"Civic Tech STL","St. Louis, MO, United States","CivTech St. Louis is a civic tech and data collaborative to innovate and open up data to solve social and civic challenges, starting in the St. Louis region. The initiative involves both high- and low-tech solutions to problems that citizens face everyday, making sure that access for all is built in from the beginning.</p><p><a href='https://twitter.com/civtechstl/ target='_blank'>Twitter</a><br><a href='https://www.facebook.com/civtechstl/ target='_blank'>Facebook</a>",38.6270025,-90.1994042
"St. Louis Mosaic Project","7733 Forsyth Blvd, St. Louis, MO, United States","As foreign-born in the St. Louis region are 60 percent more likely than native born to start a business, the Mosaic Project wants to connect immigrant entrepreneurs to the resources to successfully launch a business. Increasing the number of immigrants who start high-tech or neighborhood business will add to St. Louis' economic prosperity. 

The Mosaic Project has worked closely with and has been a key navigator for immigrant entrepreneurs in high-tech and neighborhood startups. 

The organization is the supporter within the St. Louis Economic Development Partnership for for immigrant entrepreneur companies (called the Mosaic awards) for the Accelerate Challenge and has worked with most of the foreign-born entrepreneurs coming through Arch Grants and the other competitions.</p><p><a href='https://twitter.com/STLMosaic target='_blank'>Twitter</a><br><a href='https://www.facebook.com/STLMosaicProject/ target='_blank'>Facebook</a></p>",38.6506532,-90.3353141
"Tallyfy","911 Washington Avenue, St. Louis, MO, United States","Managers love processes and flowcharts - but nobody follows them. Tallyfy eliminates flowcharts and focuses on enabling anyone to DO and TRACK recurring processes in the easiest possible way. Tallyfy ensures people complete processes like employee/client on-boarding, financial approvals and compliance checks consistently, efficiently and on time - so that the business scales successfully.",38.6314422,-90.1931569
"SixThirty CYBER","911 Washington Ave, St. Louis, MO, United States","SixThirty CYBER is a venture fund and accelerator program that provides startups with up to $100K in funding, focused mentorship, and rapid connectivity to the top US financial, healthcare, and federal agency CISOs and execs. Spun from the success of SixThirty, SixThirty CYBER will have operations in St. Louis and Washington, DC, providing similar programming and opportunities specifically for cybersecurity startups with $10 million in investments over the next five years.</p><p><a href='https://twitter.com/sixthirtycyber target='_blank'>Twitter</a><br><a href='https://www.linkedin.com/company/sixthirty-cyber target='_blank'>Linkedin</a></p>",38.6314422,-90.1931569
"BenchmarkONE","439 S Kirkwood Rd, Kirkwood, St. Louis, MO 63122, USA","<p>BenchmarkOne provides small businesses with easy-to-use and affordable sales and marketing software that automates your sales and marketing efforts overnight.</p><p>Founders Don Breckenridge and Jonathan Herrick teamed up to combine their experience in software and small business and the result was Hatchbuck, which became BenchmarkOne – a powerful marketing automation solution.&nbsp;</p><p><span style=""background-color: rgb(237, 248, 255); color: inherit;"">BenchmarkOne</span><span style=""color: inherit;"">&nbsp;levels the playing field by providing small businesses with a streamlined platform that turns emails into conversations, website visitors into handshakes, and customers into raving fans.</span><br></p>",38.5759639,-90.4074843
"Stadia Ventures","383 Marshall Ave, Webster Groves, MO 63119, USA","Stadia Ventures is an early-stage, sports- and esports-focused venture capital firm with an accelerator program. Acting as a sports innovation hub for entrepreneurs, industry partners and investors, Stadia Ventures’ accelerator is a 12-week intensive boot camp that helps established sports business startups get to the next level through the combination of up to an $100,000 equity investment, intensive mentoring and networking with top sports business executives across the nation, including senior leadership at teams, leagues, sponsors, manufacturers, marketers and business services.<br>",38.6050691,-90.3468166
